[2026-08-05T08:22:41.525+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-05T08:22:41.553+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:21:00+00:00 [queued]>
[2026-08-05T08:22:41.562+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:21:00+00:00 [queued]>
[2026-08-05T08:22:41.563+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-08-05T08:22:41.573+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-08-05 08:21:00+00:00
[2026-08-05T08:22:41.584+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-08-05T08:21:00+00:00', '--job-id', '7', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmp3j0lj2ew']
[2026-08-05T08:22:41.587+0000] {standard_task_runner.py:91} INFO - Job 7: Subtask download_minio
[2026-08-05T08:22:41.587+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=4495) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-08-05T08:22:41.589+0000] {standard_task_runner.py:64} INFO - Started process 4506 to run task
[2026-08-05T08:22:41.692+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-08-05T08:21:00+00:00 [running]> on host dbaa032e7d7c
[2026-08-05T08:22:41.788+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-08-05T08:21:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-05T08:21:00+00:00'
[2026-08-05T08:22:41.790+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-05T08:22:42.670+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401672966.parquet -> /tmp/minio_downloads/customers_090401672966.parquet
[2026-08-05T08:22:42.684+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401722071.parquet -> /tmp/minio_downloads/customers_090401722071.parquet
[2026-08-05T08:22:42.697+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401771134.parquet -> /tmp/minio_downloads/customers_090401771134.parquet
[2026-08-05T08:22:42.711+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401818881.parquet -> /tmp/minio_downloads/customers_090401818881.parquet
[2026-08-05T08:22:42.725+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401869659.parquet -> /tmp/minio_downloads/customers_090401869659.parquet
[2026-08-05T08:22:42.739+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401931845.parquet -> /tmp/minio_downloads/customers_090401931845.parquet
[2026-08-05T08:22:42.753+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090401994043.parquet -> /tmp/minio_downloads/customers_090401994043.parquet
[2026-08-05T08:22:42.767+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402069924.parquet -> /tmp/minio_downloads/customers_090402069924.parquet
[2026-08-05T08:22:42.783+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402133350.parquet -> /tmp/minio_downloads/customers_090402133350.parquet
[2026-08-05T08:22:42.798+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402184633.parquet -> /tmp/minio_downloads/customers_090402184633.parquet
[2026-08-05T08:22:42.813+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402234780.parquet -> /tmp/minio_downloads/customers_090402234780.parquet
[2026-08-05T08:22:42.827+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402284973.parquet -> /tmp/minio_downloads/customers_090402284973.parquet
[2026-08-05T08:22:42.841+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402342610.parquet -> /tmp/minio_downloads/customers_090402342610.parquet
[2026-08-05T08:22:43.496+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402385711.parquet -> /tmp/minio_downloads/customers_090402385711.parquet
[2026-08-05T08:22:43.510+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402449594.parquet -> /tmp/minio_downloads/customers_090402449594.parquet
[2026-08-05T08:22:43.524+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402513017.parquet -> /tmp/minio_downloads/customers_090402513017.parquet
[2026-08-05T08:22:43.538+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402644591.parquet -> /tmp/minio_downloads/customers_090402644591.parquet
[2026-08-05T08:22:43.551+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402707127.parquet -> /tmp/minio_downloads/customers_090402707127.parquet
[2026-08-05T08:22:43.563+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402799962.parquet -> /tmp/minio_downloads/customers_090402799962.parquet
[2026-08-05T08:22:43.578+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402929400.parquet -> /tmp/minio_downloads/customers_090402929400.parquet
[2026-08-05T08:22:43.593+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090402974349.parquet -> /tmp/minio_downloads/customers_090402974349.parquet
[2026-08-05T08:22:44.011+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403023880.parquet -> /tmp/minio_downloads/customers_090403023880.parquet
[2026-08-05T08:22:44.025+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403076220.parquet -> /tmp/minio_downloads/customers_090403076220.parquet
[2026-08-05T08:22:44.039+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403139454.parquet -> /tmp/minio_downloads/customers_090403139454.parquet
[2026-08-05T08:22:44.052+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403183405.parquet -> /tmp/minio_downloads/customers_090403183405.parquet
[2026-08-05T08:22:44.066+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403246298.parquet -> /tmp/minio_downloads/customers_090403246298.parquet
[2026-08-05T08:22:44.080+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403286232.parquet -> /tmp/minio_downloads/customers_090403286232.parquet
[2026-08-05T08:22:44.094+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403337856.parquet -> /tmp/minio_downloads/customers_090403337856.parquet
[2026-08-05T08:22:44.108+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403384511.parquet -> /tmp/minio_downloads/customers_090403384511.parquet
[2026-08-05T08:22:44.122+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403430840.parquet -> /tmp/minio_downloads/customers_090403430840.parquet
[2026-08-05T08:22:44.136+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403472396.parquet -> /tmp/minio_downloads/customers_090403472396.parquet
[2026-08-05T08:22:44.150+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403524071.parquet -> /tmp/minio_downloads/customers_090403524071.parquet
[2026-08-05T08:22:44.164+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403571705.parquet -> /tmp/minio_downloads/customers_090403571705.parquet
[2026-08-05T08:22:44.178+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403614708.parquet -> /tmp/minio_downloads/customers_090403614708.parquet
[2026-08-05T08:22:44.192+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403654848.parquet -> /tmp/minio_downloads/customers_090403654848.parquet
[2026-08-05T08:22:44.206+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403702724.parquet -> /tmp/minio_downloads/customers_090403702724.parquet
[2026-08-05T08:22:44.219+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403763292.parquet -> /tmp/minio_downloads/customers_090403763292.parquet
[2026-08-05T08:22:44.233+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403806078.parquet -> /tmp/minio_downloads/customers_090403806078.parquet
[2026-08-05T08:22:44.246+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403851544.parquet -> /tmp/minio_downloads/customers_090403851544.parquet
[2026-08-05T08:22:44.260+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403894193.parquet -> /tmp/minio_downloads/customers_090403894193.parquet
[2026-08-05T08:22:44.313+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403939509.parquet -> /tmp/minio_downloads/customers_090403939509.parquet
[2026-08-05T08:22:44.328+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090403987646.parquet -> /tmp/minio_downloads/customers_090403987646.parquet
[2026-08-05T08:22:44.342+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404049607.parquet -> /tmp/minio_downloads/customers_090404049607.parquet
[2026-08-05T08:22:44.357+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-07-27/customers_090404098181.parquet -> /tmp/minio_downloads/customers_090404098181.parquet
